country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Malta,Europe,20047,297.0,17434.0,2316.0,18.0,45326,672.0,658919.0,1489806.0,442285
Marshall Islands,Australia/Oceania,4,,4.0,0.0,,67,,,,59441
Martinique,North America,6553,45.0,98.0,6410.0,3.0,17471,120.0,94694.0,252463.0,375081
Mauritania,Africa,17016,431.0,16296.0,289.0,14.0,3601,91.0,160754.0,34017.0,4725731
Mauritius,Africa,603,10.0,556.0,37.0,,474,8.0,289552.0,227439.0,1273100
Mayotte,Africa,14037,85.0,2964.0,10988.0,36.0,50690,307.0,88733.0,320432.0,276917
Mexico,North America,2004575,175986.0,1563992.0,264597.0,4798.0,15446,1356.0,5138262.0,39591.0,129783734
Micronesia,Australia/Oceania,1,,1.0,0.0,,9,,,,115780
Moldova,Europe,171514,3678.0,158619.0,9217.0,282.0,42580,913.0,672780.0,167024.0,4028034
Monaco,Europe,1787,21.0,1562.0,204.0,9.0,45336,533.0,51953.0,1318035.0,39417
Mongolia,Asia,2444,2.0,1777.0,665.0,5.0,738,,1452189.0,438549.0,3311350
Montenegro,Europe,69770,910.0,60299.0,8561.0,68.0,111078,1449.0,257781.0,410403.0,628116
Montserrat,North America,20,1.0,13.0,6.0,,4005,200.0,947.0,189628.0,4994
Morocco,Africa,479071,8504.0,460628.0,9939.0,284.0,12883,229.0,5538218.0,148936.0,37185191
Mozambique,Africa,51800,551.0,32262.0,18987.0,,1629,17.0,388277.0,12210.0,31799912
Myanmar,Asia,141659,3192.0,130859.0,7608.0,,2593,58.0,2477916.0,45350.0,54639411
Namibia,Africa,36366,392.0,34363.0,1611.0,14.0,14152,153.0,285452.0,111084.0,2569687
Nepal,Asia,272945,2055.0,269303.0,1587.0,,9263,70.0,2123951.0,72085.0,29464622
Netherlands,Europe,1034795,14929.0,,,526.0,60307,870.0,6970400.0,406229.0,17158794
New Caledonia,Australia/Oceania,52,,50.0,2.0,,181,,21966.0,76477.0,287223
New Zealand,Australia/Oceania,2340,26.0,2265.0,49.0,,468,5.0,1613211.0,322507.0,5002100
Nicaragua,North America,6398,172.0,4225.0,2001.0,,959,26.0,,,6674028
Niger,Africa,4706,169.0,4164.0,373.0,3.0,190,7.0,78012.0,3152.0,24748726
Nigeria,Africa,148296,1777.0,124483.0,22036.0,10.0,708,8.0,1441013.0,6884.0,209322637
Norway,Europe,67140,593.0,61614.0,4933.0,17.0,12324,109.0,3655186.0,670934.0,5447910
Oman,Asia,137929,1544.0,129543.0,6842.0,42.0,26589,298.0,1550000.0,298795.0,5187507
Pakistan,Asia,565989,12436.0,528545.0,25008.0,1662.0,2532,56.0,8531218.0,38159.0,223573081
Panama,North America,333251,5655.0,314797.0,12799.0,202.0,76481,1298.0,1807810.0,414891.0,4357310
Papua New Guinea,Australia/Oceania,955,10.0,846.0,99.0,,105,1.0,43728.0,4830.0,9052980
Paraguay,South America,146216,2971.0,122493.0,20752.0,231.0,20343,413.0,707825.0,98480.0,7187523
Peru,South America,1244729,44056.0,1155956.0,44717.0,2086.0,37424,1325.0,6993146.0,210258.0,33259837
Philippines,Asia,553424,11577.0,512033.0,29814.0,786.0,5009,105.0,8365875.0,75712.0,110495881
